mechanism,level,pool,observations,exact events,series assigned,max observed Z,survival floor (unidentified mass),q0.90 estimable
A,category_x_sales_tier,22|high,478,226,16,2.313180521130562,0.08555521664002894,True
A,category_x_sales_tier,22|mid,391,204,13,1.269651509821415,0.1589658222160617,False
A,category_x_sales_tier,23|low,360,219,17,0.8751239478588104,0.15293273044599848,False
A,category_x_sales_tier,23|mid,299,167,12,1.4680102467536926,0.11720890231887723,False
A,category_x_sales_tier,24|high,807,461,27,4.909049294888973,0.018317704444451032,True
A,category_x_sales_tier,24|low,2074,1259,65,0.9931297078728676,0.046182208874360066,True
A,category_x_sales_tier,24|mid,1514,900,47,1.3531359359622002,0.05776725612104249,True
A,category_x_sales_tier,25|high,459,220,15,8.500000111758709,0.0,True
A,category_x_sales_tier,25|low,352,164,10,0.8859570249915123,0.09227749522660941,True
A,category_x_sales_tier,25|mid,627,316,18,1.315405085682869,0.12312797444072679,False
A,category_x_sales_tier,27|low,514,294,19,1.200000025331974,0.0,True
A,category_x_sales_tier,28|high,1968,683,87,7.500000178813934,0.0,True
A,category_x_sales_tier,28|low,1545,664,46,1.3074254360981286,0.11977665141537897,False
A,category_x_sales_tier,28|mid,1876,675,64,1.970162469893694,0.06514258818346459,True
A,category_x_sales_tier,29|high,4328,2501,228,10.579471826553345,0.07713187026587297,True
A,category_x_sales_tier,29|low,715,377,53,1.0718552470207214,0.17249117159919042,False
A,category_x_sales_tier,29|mid,1032,561,68,2.100000038743019,0.0,True
A,category_x_sales_tier,30|low,939,565,31,0.9802637081593275,0.11681753370140512,False
A,category_x_sales_tier,30|mid,855,483,28,1.0879962369799614,0.05765179839273972,True
A,category_x_sales_tier,31|high,1255,706,38,3.0000000447034836,0.0,True
A,category_x_sales_tier,31|low,2377,1446,77,1.044942457228899,0.07677528729912621,True
A,category_x_sales_tier,31|mid,2390,1406,75,1.517208332195878,0.04706894875116951,True
A,category_x_sales_tier,3|low,291,150,7,0.6254598181694746,0.2080316431727331,False
A,category_x_sales_tier,4|high,14347,7107,499,9.67345679551363,0.028331740658850316,True
A,category_x_sales_tier,4|low,7914,4331,263,1.1997426748275757,0.03843859172881198,True
A,category_x_sales_tier,4|mid,10226,5506,326,2.054667830467224,0.024415419645001987,True
A,category_x_sales_tier,5|high,1593,801,45,4.12682874687016,0.046468839262447166,True
A,category_x_sales_tier,5|low,2454,1315,65,1.4000000208616257,0.0,True
A,category_x_sales_tier,5|mid,2138,1121,56,2.0168263614177704,0.1564290372076533,False
A,category_x_sales_tier,7|low,1706,1070,53,1.0792067721486092,0.07760037898951766,True
A,category_x_sales_tier,7|mid,1495,898,42,1.2604501247406006,0.03692556453572459,True
A,category_x_sales_tier,8|high,2216,1085,64,4.300000064074993,0.0,True
A,category_x_sales_tier,8|low,3340,1880,101,0.9295463338494301,0.05826072607947137,True
A,category_x_sales_tier,8|mid,4132,2275,124,1.4015041925013065,0.022177455646048578,True
A,management_group,0,11654,5309,2,7.500000178813934,0.0,True
A,management_group,3,4199,2147,13,8.500000111758709,0.0,True
A,management_group,4,1416,812,3,2.0489927232265472,0.16312057394833696,False
B,category,0,983,506,2,1.4761457443237305,0.134376337504315,False
B,category,14,668,329,3,1.3000000268220901,0.0,True
B,category,15,1979,1093,2,1.2000000178813934,0.0,True
B,category,22,1013,296,4,1.700000025331974,0.0,True
B,category,23,708,364,2,1.3940934464335442,0.10573248561144102,False
B,category,27,603,224,4,1.0728790387511253,0.10371158879466084,False
B,category,3,369,173,2,0.6000000089406967,0.0,True
B,category,30,1991,997,7,4.706680389121175,0.016173952875872324,True
B,category,7,3389,1872,5,2.1000000536441803,0.0,True
B,category_x_sales_tier,0|low,701,394,26,0.8307211957871914,0.018899335702485105,True
B,category_x_sales_tier,0|mid,249,100,10,1.140828613191843,0.2196786474363302,False
B,category_x_sales_tier,10|high,2582,933,78,5.817447729408741,0.06789088274602849,True
B,category_x_sales_tier,10|low,2982,1300,97,1.300000011920929,0.0,True
B,category_x_sales_tier,10|mid,3466,1405,109,2.139270544052124,0.1086734169843555,False
B,category_x_sales_tier,11|high,647,353,18,5.244209818542004,0.027568694876783012,True
B,category_x_sales_tier,11|low,652,308,21,0.809438269585371,0.077853600232981,True
B,category_x_sales_tier,11|mid,419,193,12,1.6000000163912773,0.0,True
B,category_x_sales_tier,14|low,566,280,17,0.928363835439086,0.19003203653366288,False
B,category_x_sales_tier,15|low,1427,820,49,0.7701742108911276,0.04113957792893039,True
B,category_x_sales_tier,15|mid,490,241,17,0.9000000208616257,0.0,True
B,category_x_sales_tier,16|high,4367,1780,168,3.4758363887667656,0.03161823420192847,True
B,category_x_sales_tier,16|low,6010,3167,228,0.9841864109039307,0.052936729330967894,True
B,category_x_sales_tier,16|mid,8390,3854,312,1.3877070099115372,0.03407449277149194,True
B,category_x_sales_tier,18|high,609,253,19,2.6000000536441803,0.0,True
B,category_x_sales_tier,18|low,4493,2296,141,0.8026614123955369,0.02959686234971114,True
B,category_x_sales_tier,18|mid,2454,1001,76,1.100000023841858,0.0,True
B,category_x_sales_tier,20|high,7050,1933,256,12.494830280542374,0.0648216050289636,True
B,category_x_sales_tier,20|low,3922,1583,145,1.1252686344087124,0.11540565720952792,False
B,category_x_sales_tier,20|mid,4525,1632,153,2.351829022169113,0.05223597853776893,True
B,category_x_sales_tier,21|high,2032,814,77,29.900000154972076,0.0,True
B,category_x_sales_tier,21|low,3188,1470,117,1.1277337577193975,0.04379699834995142,True
B,category_x_sales_tier,21|mid,2348,1013,85,1.878861352801323,0.15882592379094904,False
B,category_x_sales_tier,22|high,478,127,16,1.700000025331974,0.0,True
B,category_x_sales_tier,22|mid,391,109,13,1.269651509821415,0.1467608849034214,False
B,category_x_sales_tier,23|low,360,196,17,0.7000000178813934,0.0,True
B,category_x_sales_tier,23|mid,299,148,12,1.0251593980938196,0.09578427408786529,True
B,category_x_sales_tier,24|high,807,454,27,4.909049294888973,0.018211338798259976,True
B,category_x_sales_tier,24|low,2074,1210,65,0.9000000134110451,0.0,True
B,category_x_sales_tier,24|mid,1514,856,47,1.3531359359622002,0.02265321989356392,True
B,category_x_sales_tier,25|high,459,209,15,8.500000111758709,0.0,True
B,category_x_sales_tier,25|low,352,163,10,0.8859570249915123,0.09341221213984845,True
B,category_x_sales_tier,25|mid,627,305,18,1.315405085682869,0.12142469445969797,False
B,category_x_sales_tier,27|low,514,189,19,0.7363385483622551,0.06828724916255942,True
B,category_x_sales_tier,28|high,1968,681,87,7.500000178813934,0.0,True
B,category_x_sales_tier,28|low,1545,501,46,1.3074254360981286,0.13667522131909302,False
B,category_x_sales_tier,28|mid,1876,606,64,1.970162469893694,0.06551401626204358,True
B,category_x_sales_tier,29|high,4328,2281,228,10.579471826553345,0.07527331809330412,True
B,category_x_sales_tier,29|low,715,326,53,0.800000011920929,0.0,True
B,category_x_sales_tier,29|mid,1032,523,68,1.6456573605537415,0.07605436644514983,True
B,category_x_sales_tier,30|low,939,488,31,0.7000000104308128,0.0,True
B,category_x_sales_tier,30|mid,855,407,28,1.0879962369799614,0.052161274708863864,True
B,category_x_sales_tier,31|high,1255,626,38,3.0000000447034836,0.0,True
B,category_x_sales_tier,31|low,2377,1307,77,0.9704508204013109,0.07126042860720437,True
B,category_x_sales_tier,31|mid,2390,1210,75,1.517208332195878,0.059060406542627994,True
B,category_x_sales_tier,3|low,291,125,7,0.5171580612659454,0.18900343642611686,False
B,category_x_sales_tier,4|high,14347,5385,499,9.02792651951313,0.02912140412486669,True
B,category_x_sales_tier,4|low,7914,3568,263,1.1997426748275757,0.1045806630926835,False
B,category_x_sales_tier,4|mid,10226,4326,326,2.0000000298023224,0.0,True
B,category_x_sales_tier,5|high,1593,740,45,4.12682874687016,0.03844364979239629,True
B,category_x_sales_tier,5|low,2454,1186,65,1.4000000208616257,0.0,True
B,category_x_sales_tier,5|mid,2138,988,56,2.0168263614177704,0.1652907728750481,False
B,category_x_sales_tier,7|low,1706,980,53,0.9575605168938637,0.06800913179767734,True
B,category_x_sales_tier,7|mid,1495,775,42,1.2143516466021538,0.019591853011304644,True
B,category_x_sales_tier,8|high,2216,654,64,2.69629867374897,0.13137335566889277,False
B,category_x_sales_tier,8|low,3340,1416,101,0.9198575764894485,0.058213008571416994,True
B,category_x_sales_tier,8|mid,4132,1732,124,1.4015041925013065,0.03751581498738721,True
B,management_group,0,11654,4743,2,7.500000178813934,0.0,True
B,management_group,3,4199,2027,13,8.500000111758709,0.0,True
B,management_group,4,1416,639,3,1.3940934464335442,0.11033881239372839,False
C,category,0,983,188,2,0.7380728647112846,0.5629428597408956,False
C,category,14,668,119,3,0.6666589826345444,0.45174206377627735,False
C,category,15,1979,530,2,0.9090743437409401,0.24630249535390397,False
C,category,22,1013,152,4,1.4207691252231598,0.24647520519278757,False
C,category,23,708,183,2,0.8542994968593121,0.34397482719490374,False
C,category,27,603,111,4,0.661816418170929,0.5336332689417204,False
C,category,3,369,129,2,0.44643301516771317,0.21834029151102324,False
C,category,30,1991,454,7,3.3000000193715096,0.0,True
C,category,7,3389,787,5,1.1792479902505875,0.3881486099063244,False
C,category_x_sales_tier,0|low,701,150,26,0.5698865950107574,0.512150026208693,False
C,category_x_sales_tier,0|mid,249,36,10,0.6322409212589264,0.7370857841502806,False
C,category_x_sales_tier,10|high,2582,239,78,3.346827931702137,0.6233442162361593,False
C,category_x_sales_tier,10|low,2982,515,97,0.6814119890332222,0.4133034458901941,False
C,category_x_sales_tier,10|mid,3466,467,109,0.9661565348505974,0.5178823622237438,False
C,category_x_sales_tier,11|high,647,84,18,2.6221049204468727,0.31375980087308186,False
C,category_x_sales_tier,11|low,652,129,21,0.5508662015199661,0.37882545464504835,False
C,category_x_sales_tier,11|mid,419,64,12,0.9157443419098854,0.2805384931393342,False
C,category_x_sales_tier,14|low,566,107,17,0.4000000059604645,0.0,True
C,category_x_sales_tier,15|low,1427,411,49,0.564515545964241,0.3917891144245194,False
C,category_x_sales_tier,15|mid,490,108,17,0.6917796283960342,0.32443165828184717,False
C,category_x_sales_tier,16|high,4367,555,168,2.3105619437992573,0.4895452868103016,False
C,category_x_sales_tier,16|low,6010,1537,228,0.7408221587538719,0.22179708137945348,False
C,category_x_sales_tier,16|mid,8390,1800,312,1.1347868666052818,0.2530967461157183,False
C,category_x_sales_tier,18|high,609,82,19,1.5027663260698318,0.32269453854071456,False
C,category_x_sales_tier,18|low,4493,1082,141,0.5740393102169037,0.30098397001558475,False
C,category_x_sales_tier,18|mid,2454,437,76,0.9000000208616257,0.0,True
C,category_x_sales_tier,20|high,7050,360,256,6.24741518497467,0.6440887164040972,False
C,category_x_sales_tier,20|low,3922,687,145,0.6289266962558031,0.3707332390794058,False
C,category_x_sales_tier,20|mid,4525,496,153,1.1759145110845566,0.31554219444745046,False
C,category_x_sales_tier,21|high,2032,122,77,20.110910296440125,0.8061414830874734,False
C,category_x_sales_tier,21|low,3188,640,117,0.6092905327677727,0.18524041328779992,False
C,category_x_sales_tier,21|mid,2348,375,85,0.9394306689500809,0.4810109055047158,False
C,category_x_sales_tier,22|high,478,63,16,1.4207691252231598,0.26748688461841474,False
C,category_x_sales_tier,22|mid,391,47,13,0.897056944668293,0.618800280065194,False
C,category_x_sales_tier,23|low,360,106,17,0.5000000074505806,0.0,True
C,category_x_sales_tier,23|mid,299,68,12,0.8542994968593121,0.6315913951855981,False
C,category_x_sales_tier,24|high,807,100,27,2.801657810807228,0.6421676397196823,False
C,category_x_sales_tier,24|low,2074,480,65,0.5570878200232983,0.2521940997125055,False
C,category_x_sales_tier,24|mid,1514,302,47,0.794029951095581,0.39168997925749616,False
C,category_x_sales_tier,25|high,459,24,15,4.394807569682598,0.8292191895799893,False
C,category_x_sales_tier,25|low,352,46,10,0.5000000074505806,0.0,True
C,category_x_sales_tier,25|mid,627,85,18,0.7839323654770851,0.5758548506156915,False
C,category_x_sales_tier,27|low,514,90,19,0.6136154532432556,0.523342164086431,False
C,category_x_sales_tier,28|high,1968,153,87,4.900000095367432,0.0,True
C,category_x_sales_tier,28|low,1545,305,46,0.6765097305178642,0.4633024426945664,False
C,category_x_sales_tier,28|mid,1876,217,64,1.0916907265782356,0.6192275320800553,False
C,category_x_sales_tier,29|high,4328,757,228,5.289735913276672,0.2560593949218647,False
C,category_x_sales_tier,29|low,715,145,53,0.5385339073836803,0.4845912159940372,False
C,category_x_sales_tier,29|mid,1032,145,68,1.0999250710010529,0.2516087568423854,False
C,category_x_sales_tier,30|low,939,255,31,0.6000000163912773,0.0,True
C,category_x_sales_tier,30|mid,855,170,28,0.6000000089406967,0.0,True
C,category_x_sales_tier,31|high,1255,185,38,2.110023282468319,0.5238355970860812,False
C,category_x_sales_tier,31|low,2377,519,77,0.6000000089406967,0.0,True
C,category_x_sales_tier,31|mid,2390,443,75,0.8823973387479782,0.32238220773171256,False
C,category_x_sales_tier,3|low,291,92,7,0.4101556930691004,0.3402810713661666,False
C,category_x_sales_tier,4|high,14347,1228,499,5.600000113248825,0.0,True
C,category_x_sales_tier,4|low,7914,1603,263,0.7018818631768227,0.38176746557244257,False
C,category_x_sales_tier,4|mid,10226,1648,326,1.5737889856100082,0.14101145682540936,False
C,category_x_sales_tier,5|high,1593,430,45,2.1120874732732773,0.43551051462362267,False
C,category_x_sales_tier,5|low,2454,837,65,0.7299274206161499,0.4105162057520957,False
C,category_x_sales_tier,5|mid,2138,632,56,1.1117147812619805,0.4588212586579365,False
C,category_x_sales_tier,7|low,1706,446,53,0.47878026217222214,0.34853854152342106,False
C,category_x_sales_tier,7|mid,1495,306,42,0.7933579385280609,0.3310474007914419,False
C,category_x_sales_tier,8|high,2216,196,64,2.2469155713915825,0.5958856326953517,False
C,category_x_sales_tier,8|low,3340,621,101,0.5449588894844055,0.34360752904088376,False
C,category_x_sales_tier,8|mid,4132,641,124,0.911217525601387,0.41914545723468033,False
C,management_group,0,11654,2609,2,4.900000095367432,0.0,True
C,management_group,3,4199,616,13,4.394807569682598,0.5104636436844799,False
C,management_group,4,1416,330,3,0.8542994968593121,0.32865724907475447,False
