key,first_category_id,sales_tier,stockout_tier,fit_stockout_rate,donors_model_fit,donors_tuning,donors_calibration
34468,21,mid,low,0.13125,46,7,14
34500,4,high,high,0.27395833333333336,33,10,10
34578,4,high,mid,0.1625,37,11,8
34596,29,high,mid,0.19583333333333333,23,8,6
34631,16,mid,low,0.16041666666666668,37,10,6
34775,4,high,high,0.2864583333333333,24,6,9
34810,4,high,high,0.3385416666666667,24,12,13
35070,4,high,low,0.13020833333333334,36,9,3
35118,4,high,low,0.10833333333333334,36,9,10
35224,16,mid,high,0.384375,0,0,0
35500,4,high,high,0.21875,35,12,9
35569,24,low,low,0.10729166666666666,47,6,12
35600,29,mid,high,0.33125,15,5,8
35688,31,mid,mid,0.184375,36,9,11
41259,21,mid,low,0.153125,39,12,10
41768,5,mid,high,0.28125,38,9,5
46074,21,mid,high,0.25833333333333336,10,2,4
46127,20,mid,mid,0.19895833333333332,33,14,13
46151,31,low,high,0.29583333333333334,23,4,5
46194,18,mid,low,0.12708333333333333,38,5,9
46215,4,high,high,0.346875,12,6,7
46293,16,mid,mid,0.21145833333333333,30,5,5
46362,7,low,high,0.409375,19,7,6
46366,16,mid,high,0.22708333333333333,28,8,6
46567,20,high,mid,0.17083333333333334,35,10,9
46719,10,mid,high,0.23645833333333333,17,10,8
46768,5,low,high,0.2916666666666667,38,13,15
53104,20,high,low,0.13333333333333333,35,4,9
53306,7,mid,mid,0.16875,41,9,9
53310,16,low,low,0.14166666666666666,38,6,8
53775,4,high,mid,0.178125,32,8,7
53847,20,low,mid,0.215625,30,10,13
55077,8,low,high,0.22708333333333333,36,8,5
55219,8,mid,low,0.12395833333333334,43,8,14
55300,20,high,high,0.25625,19,12,14
55578,4,mid,mid,0.18229166666666666,34,11,9
55707,7,mid,low,0.14375,38,8,8
56071,4,high,low,0.115625,45,14,11
56291,16,low,high,0.2708333333333333,20,6,10
56345,16,low,mid,0.19583333333333333,34,8,6
56422,16,mid,mid,0.17708333333333334,36,14,10
57011,18,mid,mid,0.17395833333333333,33,12,12
57023,4,mid,high,0.228125,33,13,6
57321,18,low,low,0.153125,37,8,9
58016,8,low,mid,0.20520833333333333,39,13,10
58122,20,high,mid,0.196875,28,9,11
58136,4,mid,low,0.14895833333333333,38,9,10
58140,4,mid,mid,0.1875,35,10,11
58207,4,high,mid,0.171875,31,9,12
58411,28,low,mid,0.196875,42,12,15
58634,16,mid,mid,0.20625,32,10,11
58645,24,mid,mid,0.18854166666666666,36,12,11
58793,14,low,low,0.13020833333333334,45,13,12
59122,20,high,mid,0.21145833333333333,29,7,7
59212,20,low,mid,0.165625,34,6,8
59215,4,high,high,0.30833333333333335,12,6,6
59291,16,mid,high,0.24166666666666667,25,9,8
59370,24,mid,high,0.2708333333333333,25,11,10
59489,21,mid,mid,0.16666666666666666,38,9,5
59670,31,low,low,0.12708333333333333,40,10,6
59691,21,high,low,0.14270833333333333,31,10,6
59834,28,high,high,0.515625,3,4,13
60007,31,mid,low,0.12291666666666666,41,12,7
60021,4,mid,high,0.24270833333333333,27,6,6
60041,4,high,high,0.359375,32,11,11
60250,16,low,low,0.146875,42,8,6
60296,16,mid,mid,0.21041666666666667,31,11,11
60379,29,mid,high,0.49895833333333334,8,5,3
60578,4,high,mid,0.19166666666666668,40,10,10
60634,16,high,high,0.2760416666666667,26,8,9
60691,21,high,low,0.16041666666666668,35,10,7
60717,16,low,high,0.334375,21,6,9
60738,4,low,low,0.12916666666666668,44,6,7
61070,4,high,high,0.23125,22,11,2
61129,10,low,high,0.7354166666666667,4,7,3
61140,4,low,mid,0.2125,36,9,10
61250,16,mid,low,0.09375,40,7,8
61691,21,high,low,0.125,33,10,7
61699,30,mid,low,0.15208333333333332,36,8,6
62140,4,mid,mid,0.19791666666666666,37,8,11
62190,4,mid,low,0.10625,43,10,9
62223,20,mid,low,0.128125,37,11,10
62240,4,mid,low,0.14375,41,8,10
62682,10,high,low,0.08541666666666667,49,13,9
67026,4,low,high,0.228125,31,7,9
74006,20,high,high,0.225,24,8,10
74012,18,mid,mid,0.18645833333333334,34,11,10
74117,4,high,low,0.15625,32,14,8
74122,20,high,mid,0.19479166666666667,27,8,7
74127,20,mid,high,0.22291666666666668,31,11,12
74636,16,low,mid,0.20208333333333334,31,8,6
74691,21,high,mid,0.16770833333333332,31,9,5
78240,4,mid,low,0.12916666666666668,41,9,9
78253,10,low,low,0.042708333333333334,53,12,9
78783,22,high,high,0.234375,38,11,15
81058,15,low,mid,0.215625,26,7,10
81067,18,low,low,0.121875,40,9,11
81108,8,mid,mid,0.178125,37,7,5
81220,8,mid,low,0.13229166666666667,43,7,10
81345,16,mid,high,0.275,29,10,9
81638,16,mid,mid,0.19895833333333332,29,10,7
81670,31,mid,low,0.09166666666666666,45,13,6
81797,4,low,high,0.24375,37,9,10
81802,5,high,mid,0.17604166666666668,43,14,15
81810,4,high,high,0.2635416666666667,32,11,9
84004,29,high,high,0.27395833333333336,21,11,11
84011,18,mid,low,0.13645833333333332,43,13,10
84020,4,low,low,0.15,42,8,7
84121,30,low,low,0.128125,40,10,6
84127,20,mid,mid,0.21145833333333333,28,12,12
84129,10,high,high,0.37604166666666666,18,2,0
84345,16,mid,high,0.275,31,8,10
84634,16,low,mid,0.178125,33,6,11
84638,16,mid,high,0.21770833333333334,29,7,10
84853,8,mid,mid,0.17604166666666668,36,13,12
91077,8,mid,high,0.3333333333333333,23,5,7
91201,8,high,mid,0.17083333333333334,35,11,8
91220,8,low,mid,0.19479166666666667,39,10,5
91344,16,low,high,0.284375,9,3,0
91374,18,low,low,0.15,44,10,12
91452,29,low,high,0.303125,10,5,3
91596,29,high,high,0.275,17,6,5
91738,4,low,high,0.28125,30,6,7
91783,22,high,mid,0.21666666666666667,38,12,14
91796,4,high,high,0.23229166666666667,33,6,11
91806,21,mid,high,0.34791666666666665,19,8,12
91810,4,high,high,0.2989583333333333,28,10,10
93223,20,high,low,0.15208333333333332,33,9,11
93233,21,low,low,0.14375,39,7,8
93363,4,high,low,0.15104166666666666,40,13,11
93715,10,mid,mid,0.20833333333333334,33,12,11
93775,4,high,low,0.14479166666666668,33,8,6
93810,4,high,low,0.15104166666666666,39,10,9
93843,4,low,high,0.2875,28,10,12
95084,8,mid,mid,0.215625,34,9,7
95093,21,mid,mid,0.203125,19,9,7
95122,20,high,mid,0.1875,31,10,11
95411,28,low,mid,0.18541666666666667,45,13,14
95415,7,low,low,0.15416666666666667,37,11,10
95473,7,mid,low,0.14375,40,14,9
95578,4,mid,low,0.15416666666666667,40,11,9
95596,29,high,mid,0.19791666666666666,23,7,4
95719,10,low,high,0.26875,15,8,8
96016,8,mid,low,0.1375,39,11,9
96061,21,low,mid,0.17604166666666668,34,10,11
96127,20,high,mid,0.16666666666666666,38,14,11
96145,18,low,low,0.153125,39,9,6
96486,20,high,low,0.15729166666666666,32,8,9
96638,16,high,high,0.24166666666666667,28,8,7
96699,30,mid,mid,0.1875,34,12,11
100026,4,mid,mid,0.16354166666666667,35,5,13
100071,4,high,low,0.115625,41,11,9
100077,8,mid,high,0.27708333333333335,29,8,3
100117,4,high,mid,0.17916666666666667,28,6,2
100212,20,low,mid,0.17604166666666668,32,8,8
100215,4,high,high,0.38645833333333335,9,6,6
100222,21,low,mid,0.18020833333333333,34,10,14
100240,4,mid,low,0.13854166666666667,40,7,6
100715,10,low,mid,0.17395833333333333,38,14,11
100728,20,mid,low,0.08958333333333333,44,11,3
100797,4,low,high,0.27708333333333335,29,9,9
100834,28,high,high,0.5947916666666667,2,3,10
104023,4,mid,mid,0.16458333333333333,37,11,10
104077,8,low,high,0.2989583333333333,32,8,6
104118,4,high,mid,0.165625,39,7,7
104396,7,low,low,0.1125,49,12,8
104473,7,low,low,0.12604166666666666,42,10,10
104500,4,high,high,0.21770833333333334,31,10,8
104638,16,mid,low,0.1375,38,7,10
104810,4,high,mid,0.203125,35,13,12
109004,29,high,mid,0.21041666666666667,28,10,12
109023,4,low,mid,0.17291666666666666,37,13,8
109076,8,high,low,0.15416666666666667,41,9,11
109194,18,low,high,0.23541666666666666,31,9,9
109296,16,high,high,0.246875,25,10,8
109486,20,high,high,0.21875,28,10,10
109802,5,high,mid,0.20104166666666667,43,13,14
112006,20,mid,high,0.24791666666666667,23,8,6
112012,18,low,mid,0.17395833333333333,38,8,11
112116,10,high,low,0.090625,44,7,2
112119,20,high,mid,0.1875,25,8,5
112426,16,high,low,0.15104166666666666,37,10,7
112578,4,mid,low,0.13958333333333334,45,12,12
112600,29,mid,high,0.34479166666666666,13,8,4
115011,18,mid,low,0.13125,42,12,10
115108,8,low,high,0.2625,31,8,7
115110,31,mid,low,0.15416666666666667,38,12,10
115136,4,low,high,0.23541666666666666,30,8,10
115207,4,mid,high,0.22083333333333333,30,6,9
115300,20,high,high,0.31979166666666664,13,12,11
115387,31,low,low,0.10208333333333333,45,10,6
115414,7,low,low,0.12395833333333334,41,10,5
115439,21,low,mid,0.16145833333333334,44,12,12
115467,5,mid,mid,0.16145833333333334,46,14,13
115645,24,low,mid,0.16770833333333332,38,11,12
115775,4,high,mid,0.175,34,7,9
115796,4,high,low,0.153125,40,7,9
118076,8,high,low,0.15520833333333334,34,11,10
118078,8,mid,high,0.22708333333333333,30,9,10
118253,10,high,low,0.08020833333333334,50,9,13
118258,31,mid,low,0.12708333333333333,39,8,10
118282,4,low,low,0.13333333333333333,41,10,10
118508,20,mid,low,0.10104166666666667,40,7,7
118563,16,mid,high,0.22395833333333334,29,6,6
118614,24,low,low,0.14895833333333333,37,8,11
118638,16,high,high,0.23333333333333334,27,4,7
119012,18,low,mid,0.17604166666666668,38,8,10
119122,20,mid,high,0.271875,23,11,11
119212,20,low,low,0.1375,41,5,8
119486,20,high,mid,0.1875,31,10,7
119578,4,high,mid,0.19375,37,11,10
119775,4,high,low,0.15520833333333334,33,9,9
121058,15,low,high,0.21770833333333334,24,9,8
121145,18,mid,low,0.159375,34,10,6
121411,28,low,mid,0.21041666666666667,44,13,14
126023,4,low,high,0.234375,32,14,8
126250,16,low,low,0.13645833333333332,39,8,8
126291,16,low,high,0.23958333333333334,26,9,9
126351,4,mid,low,0.15729166666666666,38,9,6
126370,24,mid,mid,0.184375,38,8,10
126387,31,low,mid,0.209375,36,7,9
126481,24,high,mid,0.20625,29,11,10
126500,4,high,high,0.24791666666666667,30,12,7
126638,16,low,mid,0.215625,30,8,12
126768,5,low,high,0.284375,40,12,13
128021,4,low,high,0.271875,25,6,6
128058,15,low,mid,0.16354166666666667,33,9,11
128070,4,high,mid,0.18020833333333333,31,9,3
128119,20,high,low,0.14791666666666667,31,10,8
128250,16,mid,low,0.13854166666666667,40,8,9
128321,18,low,low,0.15729166666666666,39,12,10
128344,16,mid,high,0.340625,5,1,5
128424,16,low,high,0.228125,35,7,8
128650,10,low,high,0.4197916666666667,26,13,10
128783,22,mid,high,0.253125,35,13,15
129021,4,low,high,0.29791666666666666,17,4,8
129058,15,low,mid,0.17604166666666668,33,9,9
129090,4,mid,high,0.45625,21,1,1
129118,4,high,mid,0.17083333333333334,34,8,9
129194,18,low,high,0.21770833333333334,28,7,9
129496,16,low,mid,0.17604166666666668,27,9,4
129644,23,mid,high,0.22083333333333333,28,11,11
129715,10,mid,high,0.24791666666666667,33,13,11
129806,21,low,high,0.2864583333333333,25,10,9
131133,31,low,high,0.38645833333333335,19,10,11
131145,18,mid,low,0.11979166666666667,41,8,8
131150,8,low,low,0.15520833333333334,41,8,9
131257,0,low,low,0.15416666666666667,37,9,7
131291,16,high,high,0.21875,23,11,7
131470,16,mid,mid,0.178125,30,10,7
131577,24,mid,low,0.14583333333333334,35,13,5
131806,21,low,high,0.33229166666666665,20,11,8
131834,28,high,high,0.6572916666666667,1,0,7
132071,4,high,low,0.09583333333333334,37,12,12
132076,8,high,mid,0.171875,38,13,9
132104,20,high,mid,0.17083333333333334,30,5,12
132144,18,high,low,0.09791666666666667,47,8,10
132250,16,low,mid,0.17395833333333333,35,9,7
132415,7,low,low,0.13645833333333332,36,9,9
132419,24,low,low,0.140625,41,11,8
132783,22,low,mid,0.20104166666666667,40,12,15
134023,4,mid,mid,0.19583333333333333,37,10,11
134140,4,mid,mid,0.17708333333333334,38,9,11
134150,8,mid,low,0.15,42,9,12
134250,16,mid,low,0.128125,41,8,7
134475,20,low,mid,0.18541666666666667,33,8,8
134486,20,high,mid,0.19166666666666668,29,12,8
134554,4,high,mid,0.165625,37,9,12
135000,31,high,high,0.35520833333333335,9,7,13
135215,4,high,high,0.2625,17,8,7
135396,7,mid,low,0.125,46,12,11
135489,21,high,low,0.11354166666666667,42,10,4
135549,31,high,mid,0.18645833333333334,40,14,12
135635,16,mid,mid,0.19479166666666667,33,10,6
135670,31,mid,low,0.14583333333333334,35,12,8
135826,7,low,low,0.09479166666666666,43,13,8
137019,4,high,high,0.2625,26,9,8
137133,31,low,high,0.25729166666666664,31,9,13
137136,4,low,high,0.23229166666666667,33,13,10
137370,24,high,mid,0.18020833333333333,34,9,6
137487,11,low,high,0.22708333333333333,33,10,9
137600,29,high,high,0.334375,14,9,3
137806,21,low,high,0.37395833333333334,17,9,10
140121,30,low,low,0.14583333333333334,39,9,9
140194,18,low,mid,0.19791666666666666,31,7,8
140201,8,high,low,0.14895833333333333,37,11,9
140546,25,high,high,0.225,21,7,4
140563,16,low,high,0.2604166666666667,25,8,6
140635,16,mid,low,0.16041666666666668,35,9,8
140763,18,high,low,0.159375,36,9,10
142077,8,low,high,0.38958333333333334,25,6,7
142099,8,low,low,0.09375,49,9,11
142115,10,mid,mid,0.17291666666666666,43,13,13
142419,24,mid,mid,0.16145833333333334,35,9,9
142644,23,mid,mid,0.209375,30,13,8
142759,10,high,low,0.13541666666666666,31,5,8
142843,4,mid,high,0.3302083333333333,25,8,14
143122,20,mid,high,0.259375,26,10,9
143135,4,mid,low,0.065625,52,13,11
143207,4,mid,mid,0.16666666666666666,32,9,12
143296,16,mid,mid,0.17395833333333333,34,12,10
143306,7,mid,low,0.15,39,11,11
143672,10,mid,low,0.13541666666666666,41,13,8
144070,4,high,mid,0.21354166666666666,29,8,2
144116,10,high,low,0.08020833333333334,39,11,8
144250,16,mid,low,0.12708333333333333,38,7,7
144419,24,high,low,0.13229166666666667,42,12,10
145122,20,high,high,0.24479166666666666,26,10,10
145140,4,mid,high,0.22395833333333334,34,8,12
145215,4,high,high,0.346875,10,8,6
145291,16,high,high,0.21979166666666666,24,10,9
145422,16,high,low,0.16041666666666668,34,7,6
145424,16,mid,mid,0.18125,38,9,11
145453,5,mid,low,0.13541666666666666,40,10,10
145500,4,high,mid,0.175,39,11,10
145578,4,high,mid,0.19166666666666668,35,8,8
145627,13,mid,low,0.10625,39,12,8
145631,16,high,mid,0.20520833333333333,31,8,4
145638,16,high,high,0.28541666666666665,23,8,5
145644,23,high,mid,0.19375,27,7,10
145717,16,low,high,0.30416666666666664,24,5,7
145783,22,high,high,0.22916666666666666,36,10,15
146004,29,high,mid,0.20208333333333334,31,7,13
146026,4,mid,mid,0.18854166666666666,28,7,10
146093,21,low,mid,0.20833333333333334,29,10,8
146127,20,low,mid,0.20208333333333334,37,12,12
146290,16,mid,low,0.15416666666666667,35,10,8
146291,16,low,high,0.24479166666666666,25,10,7
146300,20,high,high,0.246875,24,13,10
146834,28,high,high,0.4708333333333333,9,5,12
146847,20,low,high,0.21979166666666666,31,11,9
147012,18,low,low,0.14375,41,7,9
147017,20,mid,low,0.10416666666666667,46,10,12
147023,4,high,high,0.22708333333333333,28,13,6
147070,4,high,mid,0.19270833333333334,29,6,4
147074,21,low,high,0.30416666666666664,11,2,7
147117,4,high,high,0.22604166666666667,22,15,8
147136,4,mid,high,0.24166666666666667,30,9,7
147216,21,mid,high,0.23333333333333334,28,4,9
147219,8,high,low,0.071875,52,9,12
147291,16,high,mid,0.20729166666666668,27,9,4
147304,31,low,high,0.221875,35,8,11
147554,4,high,high,0.24583333333333332,30,6,11
147578,4,high,mid,0.18958333333333333,39,12,11
147628,21,low,low,0.13854166666666667,42,9,9
147707,7,mid,low,0.075,46,10,8
147774,4,high,mid,0.20729166666666668,38,8,8
147793,14,low,mid,0.196875,37,13,11
148026,4,mid,mid,0.171875,33,8,8
148060,21,low,mid,0.19166666666666668,30,8,11
148117,4,high,mid,0.16770833333333332,30,15,6
148293,16,mid,low,0.15,37,6,5
148374,18,low,low,0.090625,46,9,8
148500,4,high,mid,0.1875,35,11,9
148578,4,mid,low,0.13020833333333334,44,12,9
148580,29,high,high,0.29583333333333334,16,3,2
148592,15,low,low,0.121875,41,10,8
148634,16,mid,high,0.22916666666666666,27,9,9
148728,20,mid,low,0.07395833333333333,47,8,5
149070,4,high,low,0.14895833333333333,28,5,1
149108,8,mid,mid,0.21041666666666667,32,10,4
149110,31,mid,low,0.15520833333333334,40,10,9
149220,8,low,low,0.14895833333333333,42,9,12
149419,24,high,low,0.12291666666666666,37,10,7
149420,24,mid,low,0.11458333333333333,43,8,11
149452,29,low,mid,0.19375,22,8,2
149496,16,low,high,0.22395833333333334,25,7,1
149499,20,low,low,0.13229166666666667,42,9,6
149634,16,low,low,0.15833333333333333,35,4,8
149638,16,high,low,0.159375,34,4,7
150104,20,high,low,0.128125,36,6,12
150190,4,mid,low,0.075,40,10,9
150345,16,low,mid,0.184375,33,8,8
150419,24,mid,low,0.13854166666666667,39,11,8
150481,24,high,low,0.14375,37,9,8
150549,31,high,low,0.140625,41,11,12
150554,4,mid,low,0.159375,43,8,12
150600,29,mid,high,0.375,13,7,4
150631,16,low,low,0.12708333333333333,40,9,10
150783,22,mid,mid,0.19583333333333333,40,12,15
150834,28,mid,high,0.5395833333333333,9,0,7
151026,4,mid,mid,0.18541666666666667,29,8,10
151144,18,low,mid,0.165625,35,8,11
151190,4,high,low,0.128125,34,8,9
151207,4,high,mid,0.20729166666666668,32,4,8
151212,20,mid,mid,0.17395833333333333,29,7,14
151219,8,high,low,0.07395833333333333,51,6,11
151223,20,high,low,0.13229166666666667,39,9,9
151247,16,low,high,0.23125,30,3,9
151285,24,low,low,0.15520833333333334,34,8,11
151359,20,low,mid,0.17395833333333333,35,11,10
151373,31,low,high,0.3385416666666667,21,6,8
151422,16,high,low,0.15520833333333334,38,11,9
151424,16,mid,high,0.2604166666666667,30,9,8
151508,20,low,low,0.10104166666666667,48,7,9
151554,4,high,high,0.3385416666666667,24,7,10
151580,29,high,high,0.33541666666666664,13,1,5
151632,16,low,high,0.3145833333333333,23,9,8
151638,16,high,high,0.246875,27,8,8
151677,7,low,low,0.10833333333333334,42,10,8
151684,15,mid,mid,0.1625,36,10,8
151810,4,high,high,0.309375,27,11,10
151822,20,low,high,0.5291666666666667,18,9,10
152019,4,high,high,0.240625,26,7,7
152093,21,mid,high,0.21875,24,7,11
152213,4,low,high,0.25833333333333336,30,10,10
152247,16,low,high,0.22395833333333334,30,3,4
152290,16,high,mid,0.17916666666666667,36,7,6
152304,31,low,low,0.09375,45,10,9
152407,24,low,low,0.15729166666666666,42,7,11
152486,20,high,mid,0.17708333333333334,36,11,11
152489,21,high,low,0.12291666666666666,43,11,6
152525,15,low,low,0.13125,36,7,8
152631,16,high,high,0.22083333333333333,30,12,9
153038,5,mid,low,0.134375,41,12,9
153207,4,high,low,0.15416666666666667,37,7,10
153635,16,mid,mid,0.18854166666666666,34,7,7
153662,10,mid,low,0.07291666666666667,52,12,10
153719,10,low,mid,0.20104166666666667,28,10,3
154077,8,high,mid,0.18854166666666666,31,5,11
154118,4,high,low,0.15416666666666667,34,9,10
154133,31,low,high,0.30833333333333335,24,8,12
154215,4,high,high,0.30416666666666664,12,5,11
154285,24,mid,mid,0.175,29,5,10
154291,16,high,high,0.22291666666666668,22,9,9
154405,0,low,mid,0.196875,30,8,13
154633,16,high,high,0.26145833333333335,25,9,7
154644,23,high,mid,0.209375,30,10,10
154774,4,high,high,0.253125,34,12,10
154802,5,high,high,0.22604166666666667,41,12,15
154829,11,high,mid,0.178125,34,8,11
155026,4,low,mid,0.209375,35,6,7
155099,8,low,mid,0.16666666666666666,37,11,12
155114,10,high,low,0.12604166666666666,49,13,10
155166,20,high,low,0.15625,28,6,12
155190,4,mid,low,0.121875,42,9,7
155600,29,high,high,0.34791666666666665,11,8,2
155740,29,high,low,0.15416666666666667,25,10,4
155834,28,high,high,0.53125,6,7,9
157127,20,mid,high,0.23020833333333332,32,13,11
157135,4,mid,mid,0.18958333333333333,36,13,9
157363,4,high,mid,0.16458333333333333,39,11,12
157473,7,mid,low,0.109375,42,10,9
157500,4,high,high,0.22083333333333333,30,12,8
157600,29,mid,high,0.3614583333333333,11,4,3
157662,10,mid,low,0.06354166666666666,54,13,9
157769,20,high,low,0.12708333333333333,37,7,11
157810,4,high,mid,0.18645833333333334,38,9,11
157853,8,mid,mid,0.17916666666666667,36,12,12
158023,4,mid,mid,0.184375,37,11,4
158041,4,high,high,0.22708333333333333,33,13,11
158071,4,high,low,0.14479166666666668,38,13,10
158076,8,high,high,0.25729166666666664,27,11,10
158439,21,mid,mid,0.17083333333333334,39,13,13
158500,4,high,mid,0.175,35,9,6
158554,4,low,high,0.3125,28,11,12
158802,5,high,mid,0.17395833333333333,44,10,15
158843,4,low,high,0.23229166666666667,33,11,14
159026,4,mid,mid,0.16875,35,8,11
159420,24,low,low,0.13645833333333332,42,9,13
159567,20,high,low,0.14791666666666667,32,13,12
159580,29,high,mid,0.209375,16,5,1
159631,16,mid,high,0.228125,29,9,8
159802,5,mid,low,0.12395833333333334,49,10,12
160007,31,low,low,0.11041666666666666,42,10,7
160020,4,mid,low,0.115625,40,9,6
160021,4,mid,high,0.2916666666666667,16,7,6
160118,4,high,low,0.10833333333333334,34,8,9
160249,16,mid,high,0.24583333333333332,26,12,7
160387,31,high,low,0.12708333333333333,40,7,7
160486,20,high,mid,0.18229166666666666,27,7,12
160600,29,high,high,0.24895833333333334,23,7,4
160768,5,mid,high,0.30416666666666664,38,14,8
160858,15,low,mid,0.17083333333333334,37,8,14
161006,20,low,high,0.284375,18,11,6
161140,4,low,mid,0.196875,39,10,12
161201,8,high,low,0.1125,44,13,8
161215,4,high,mid,0.19895833333333332,24,7,4
161481,24,high,mid,0.18020833333333333,31,10,8
161500,4,high,high,0.24270833333333333,34,11,9
161670,31,low,mid,0.17083333333333334,39,13,8
162122,20,high,high,0.23020833333333332,21,10,9
162419,24,mid,mid,0.16458333333333333,38,11,12
162578,4,high,mid,0.16354166666666667,42,13,10
162631,16,mid,low,0.12916666666666668,41,8,10
162843,4,low,high,0.24270833333333333,29,12,14
164194,18,low,high,0.253125,26,8,5
164215,4,high,high,0.35625,13,2,4
164810,4,mid,mid,0.184375,36,11,10
165481,24,high,mid,0.19270833333333334,30,11,7
165549,31,high,low,0.14479166666666668,41,12,13
165831,24,low,low,0.14375,41,9,7
166115,10,low,low,0.14270833333333333,46,9,14
